TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SYNDICATION DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),SUNDAY MAGS DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NETWORK RADIO DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF JUL 14, 2014 (B)",Hulu-East Los High : Online,0.5,0,0,0,0,0,0,0,0,0,0.5,0
"WEEK OF JUL 21, 2014 (B)",Hulu Plus : Online,460,0,278.7,181,0.3,0,0,0,0,0,0,0
"WEEK OF JUL 21, 2014 (B)",Hulu-Awesomes : Online,1.8,0,0,0,0,0,0,0,0,0,1.8,0
"WEEK OF JUL 21, 2014 (B)",Hulu-East Los High : Online,0.5,0,0,0,0,0,0,0,0,0,0.5,0
"WEEK OF JUL 28, 2014 (B)",Hulu : Online,85.8,0,33.4,0,0,0,0,0,0,0,0,52.5
"WEEK OF JUL 28, 2014 (B)",Hulu Plus : Online,636.1,0,308,327.1,1,0,0,0,0,0,0,0
"WEEK OF JUL 28, 2014 (B)",Hulu-Awesomes : Online,4.6,0,0,0,0,0,0,0,0,0,1,3.6
"WEEK OF JUL 28, 2014 (B)",Hulu-East Los High : Online,0.3,0,0,0,0,0,0,0,0,0,0.3,0
"WEEK OF AUG 04, 2014 (B)",Hulu : Online,622.7,24.8,348.9,247.5,1.5,0,0,0,0,0,0,0
"WEEK OF AUG 04, 2014 (B)",Hulu Plus : Online,551.9,90.4,326.9,105.1,29.5,0,0,0,0,0,0,0
"WEEK OF AUG 11, 2014 (B)",Hulu Plus : Online,639.6,218,256.5,131.8,33.3,0,0,0,0,0,0,0
"WEEK OF AUG 18, 2014 (B)",Hulu Plus : Online,416.8,80.2,245.5,65.8,25.3,0,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",Hulu Plus : Online,577.1,270.1,245.4,40.6,21,0,0,0,0,0,0,0
"WEEK OF SEP 01, 2014 (B)",Hulu Plus : Online,832.3,258.3,468.5,50.8,54.7,0,0,0,0,0,0,0
"WEEK OF SEP 08, 2014 (B)",Hulu : Online,0.2,0,0,0,0.2,0,0,0,0,0,0,0
"WEEK OF SEP 08, 2014 (B)",Hulu Plus : Online,481.7,125.5,292.2,27.2,36.8,0,0,0,0,0,0,0
"WEEK OF SEP 15, 2014 (B)",Hulu : Online,8.2,0,0.1,5.2,2.9,0,0,0,0,0,0,0
"WEEK OF SEP 15, 2014 (B)",Hulu Plus : Online,496.5,248.6,247.9,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 22, 2014 (B)",Hulu : Online,5.3,0,0,5.2,0.1,0,0,0,0,0,0,0
"WEEK OF SEP 22, 2014 (B)",Hulu Plus : Online,615.2,285,303,27.2,0,0,0,0,0,0,0,0
"WEEK OF SEP 22, 2014 (B)",Hulu-Jack Hannas Wild Countdown : Online,0.2,0,0,0,0.2,0,0,0,0,0,0,0
"WEEK OF SEP 29, 2014 (B)",Hulu : Online,431.8,354.9,72.7,3.8,0.5,0,0,0,0,0,0,0
"WEEK OF SEP 29, 2014 (B)",Hulu Plus : Online,188,0,168.2,19.7,0.1,0,0,0,0,0,0,0
"WEEK OF SEP 29, 2014 (B)",Hulu-Jack Hannas Wild Countdown : Online,0.2,0,0,0,0.2,0,0,0,0,0,0,0
"WEEK OF OCT 06, 2014 (B)",Hulu : Online,834.1,720.4,112.3,1.2,0.3,0,0,0,0,0,0,0
"WEEK OF OCT 06, 2014 (B)",Hulu Plus : Online,161.5,0,143.4,17,1.2,0,0,0,0,0,0,0
"WEEK OF OCT 06, 2014 (B)",Hulu-Jack Hannas Wild Countdown : Online,0.2,0,0,0,0.2,0,0,0,0,0,0,0
"WEEK OF OCT 13, 2014 (B)",Hulu : Online,1470.8,1090.4,380.4,0,0,0,0,0,0,0,0,0
"WEEK OF OCT 13, 2014 (B)",Hulu Plus : Online,605,188.8,209.2,206.4,0.7,0,0,0,0,0,0,0
"WEEK OF OCT 13, 2014 (B)",Hulu-Jack Hannas Wild Countdown : Online,0.2,0,0,0,0.2,0,0,0,0,0,0,0
"WEEK OF OCT 20, 2014 (B)",Hulu : Online,2006.7,1678.5,328.2,0,0,0,0,0,0,0,0,0
"WEEK OF OCT 20, 2014 (B)",Hulu Plus : Online,702.7,210.9,239.8,244,8,0,0,0,0,0,0,0
"WEEK OF OCT 20, 2014 (B)",Hulu-Jack Hannas Wild Countdown : Online,0.5,0,0,0,0.5,0,0,0,0,0,0,0
"WEEK OF OCT 27, 2014 (B)",Hulu : Online,445,395,48.3,1.6,0.1,0,0,0,0,0,0,0
"WEEK OF OCT 27, 2014 (B)",Hulu Plus : Online,1131.9,350,315.1,455.8,11,0,0,0,0,0,0,0
"WEEK OF OCT 27, 2014 (B)",Hulu-Jack Hannas Wild Countdown : Online,0.5,0,0,0,0.5,0,0,0,0,0,0,0
"WEEK OF NOV 03, 2014 (B)",Hulu : Online,723.4,648,73.7,1.6,0.1,0,0,0,0,0,0,0
"WEEK OF NOV 03, 2014 (B)",Hulu Plus : Online,585.1,164.7,320.4,99.5,0.5,0,0,0,0,0,0,0
"WEEK OF NOV 03, 2014 (B)",Hulu-Jack Hannas Wild Countdown : Online,0.5,0,0,0,0.5,0,0,0,0,0,0,0
"WEEK OF NOV 10, 2014 (B)",Hulu : Online,780.3,737.1,41.5,1.6,0.1,0,0,0,0,0,0,0
"WEEK OF NOV 10, 2014 (B)",Hulu Plus : Online,369.2,0,287.1,80.3,1.8,0,0,0,0,0,0,0
"WEEK OF NOV 10, 2014 (B)",Hulu-Jack Hannas Wild Countdown : Online,0.5,0,0,0,0.5,0,0,0,0,0,0,0
"WEEK OF NOV 17, 2014 (B)",Hulu : Online,322.3,304.5,4.6,1.6,11.6,0,0,0,0,0,0,0
"WEEK OF NOV 17, 2014 (B)",Hulu Plus : Online,903.3,473.8,358.1,71.2,0.3,0,0,0,0,0,0,0
"WEEK OF NOV 17, 2014 (B)",Hulu-Jack Hannas Wild Countdown : Online,0.5,0,0,0,0.5,0,0,0,0,0,0,0
"WEEK OF NOV 24, 2014 (B)",Hulu : Online,61,0,0,7,54.1,0,0,0,0,0,0,0
"WEEK OF NOV 24, 2014 (B)",Hulu Plus : Online,1943.4,1548.9,269.5,124.8,0.2,0,0,0,0,0,0,0
"WEEK OF DEC 01, 2014 (B)",Hulu : Online,292.8,192.4,5.8,5.3,89.3,0,0,0,0,0,0,0
"WEEK OF DEC 01, 2014 (B)",Hulu Plus : Online,1590.7,1185.7,212.1,191.1,1.7,0,0,0,0,0,0,0
"WEEK OF DEC 08, 2014 (B)",Hulu : Online,1582.2,1179.1,151.3,184.4,67.4,0,0,0,0,0,0,0
"WEEK OF DEC 08, 2014 (B)",Hulu Plus : Online,37,0,31.1,0,5.9,0,0,0,0,0,0,0
"WEEK OF DEC 15, 2014 (B)",Hulu : Online,439.1,0,210.1,163.8,65.1,0,0,0,0,0,0,0
"WEEK OF DEC 15, 2014 (B)",Hulu Plus : Online,4.2,0,1.6,0,2.7,0,0,0,0,0,0,0
"WEEK OF DEC 22, 2014 (B)",Hulu : Online,735,169.7,317.2,151,97.1,0,0,0,0,0,0,0
"WEEK OF DEC 22, 2014 (B)",Hulu Plus : Online,21.7,0,19.4,0,2.3,0,0,0,0,0,0,0
"WEEK OF DEC 29, 2014 (B)",Hulu : Online,1457.1,172.6,754.3,331.6,198.6,0,0,0,0,0,0,0
"WEEK OF DEC 29, 2014 (B)",Hulu Plus : Online,100.1,0,42.2,55.2,2.7,0,0,0,0,0,0,0
"WEEK OF JAN 05, 2015 (B)",Hulu : Online,529.5,0,399.7,14.9,115,0,0,0,0,0,0,0
"WEEK OF JAN 05, 2015 (B)",Hulu Plus : Online,12.7,0,0,0,12.7,0,0,0,0,0,0,0
"WEEK OF JAN 05, 2015 (B)",Hulu-Soy Tu Duena : Online,22,0,0,0,22,0,0,0,0,0,0,0
"WEEK OF JAN 12, 2015 (B)",Hulu : Online,415.2,0,413.2,2,0.1,0,0,0,0,0,0,0
"WEEK OF JAN 12, 2015 (B)",Hulu Plus : Online,7.4,0,0,0,7.4,0,0,0,0,0,0,0
"WEEK OF JAN 12, 2015 (B)",Hulu-Soy Tu Duena : Online,19.2,0,0,0,19.2,0,0,0,0,0,0,0
"WEEK OF JAN 19, 2015 (B)",Hulu : Online,989,483.1,487.3,18.6,0,0,0,0,0,0,0,0
"WEEK OF JAN 19, 2015 (B)",Hulu Plus : Online,0.1,0,0,0,0.1,0,0,0,0,0,0,0
"WEEK OF JAN 19, 2015 (B)",Hulu-Soy Tu Duena : Online,53.8,0,0,0,53.8,0,0,0,0,0,0,0
"WEEK OF JAN 26, 2015 (B)",Hulu : Online,2625,2120.6,458.6,38.2,7.4,0,0,0,0,0,0.2,0
"WEEK OF JAN 26, 2015 (B)",Hulu Plus : Online,33.6,0,0,0,33.6,0,0,0,0,0,0,0
"WEEK OF JAN 26, 2015 (B)",Hulu-Soy Tu Duena : Online,85.6,0,0,0,85.6,0,0,0,0,0,0,0
"WEEK OF FEB 02, 2015 (B)",Hulu : Online,913,395.3,367.3,142.4,6.6,0,0,0,0,0,1.5,0
"WEEK OF FEB 02, 2015 (B)",Hulu Plus : Online,34.1,0,0,0,34.1,0,0,0,0,0,0,0
"WEEK OF FEB 02, 2015 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.8,0,0,3.8,0,0,0,0,0,0,0,0
"WEEK OF FEB 02, 2015 (B)",Hulu-Soy Tu Duena : Online,126.2,0,0,0,126.2,0,0,0,0,0,0,0
"WEEK OF FEB 09, 2015 (B)",Hulu : Online,1334.2,840,428,45,19.7,0,0,0,0,0,1.5,0
"WEEK OF FEB 09, 2015 (B)",Hulu Plus : Online,22.3,0,0,0,22.3,0,0,0,0,0,0,0
"WEEK OF FEB 09, 2015 (B)",Hulu-Soy Tu Duena : Online,45.7,0,0,0,45.7,0,0,0,0,0,0,0
"WEEK OF FEB 09, 2015 (B)",Hulu-Triunfo Del Amor : Online,1.1,0,0,0,1.1,0,0,0,0,0,0,0
"WEEK OF FEB 16, 2015 (B)",Hulu : Online,1287.7,744,432.9,87.9,21.4,0,0,0,0,0,1.5,0
"WEEK OF FEB 16, 2015 (B)",Hulu Plus : Online,18,0,0,0,18,0,0,0,0,0,0,0
"WEEK OF FEB 16, 2015 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.8,0,0,3.8,0,0,0,0,0,0,0,0
"WEEK OF FEB 16, 2015 (B)",Hulu-Soy Tu Duena : Online,58.6,0,0,0,58.6,0,0,0,0,0,0,0
"WEEK OF FEB 16, 2015 (B)",Hulu-Triunfo Del Amor : Online,0.2,0,0,0,0.2,0,0,0,0,0,0,0
"WEEK OF FEB 23, 2015 (B)",Hulu : Online,1551.6,691.3,515.9,304.1,39,0,0,0,0,0,1.3,0
"WEEK OF FEB 23, 2015 (B)",Hulu Plus : Online,31.7,0,0,0,31.7,0,0,0,0,0,0,0
"WEEK OF FEB 23, 2015 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.8,0,0,3.8,0,0,0,0,0,0,0,0
"WEEK OF FEB 23, 2015 (B)",Hulu-Soy Tu Duena : Online,81.7,0,0,0,81.7,0,0,0,0,0,0,0
"WEEK OF FEB 23, 2015 (B)",Hulu-Triunfo Del Amor : Online,0.1,0,0,0,0.1,0,0,0,0,0,0,0
"WEEK OF MAR 02, 2015 (B)",Hulu : Online,1178.7,589.2,400.7,183.9,5,0,0,0,0,0,0,0
"WEEK OF MAR 02, 2015 (B)",Hulu Plus : Online,38,0,0,0,38,0,0,0,0,0,0,0
"WEEK OF MAR 02, 2015 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.8,0,0,3.8,0,0,0,0,0,0,0,0
"WEEK OF MAR 02, 2015 (B)",Hulu-Soy Tu Duena : Online,149.9,0,0,0,149.9,0,0,0,0,0,0,0
"WEEK OF MAR 09, 2015 (B)",Hulu : Online,1142.3,602.1,402.9,131.8,5.5,0,0,0,0,0,0,0
"WEEK OF MAR 09, 2015 (B)",Hulu Plus : Online,26.1,0,0,0,26.1,0,0,0,0,0,0,0
"WEEK OF MAR 09, 2015 (B)",Hulu-Soy Tu Duena : Online,91.6,0,0,0,91.6,0,0,0,0,0,0,0
"WEEK OF MAR 16, 2015 (B)",Hulu : Online,1125.6,531.9,391.1,200.2,2.4,0,0,0,0,0,0,0
"WEEK OF MAR 16, 2015 (B)",Hulu Plus : Online,33.9,0,12.7,0,21.2,0,0,0,0,0,0,0
"WEEK OF MAR 16, 2015 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.8,0,0,3.8,0,0,0,0,0,0,0,0
"WEEK OF MAR 16, 2015 (B)",Hulu-Soy Tu Duena : Online,69.3,0,0,0,69.3,0,0,0,0,0,0,0
"WEEK OF MAR 23, 2015 (B)",Hulu : Online,973.7,380.4,491.2,84,18.1,0,0,0,0,0,0,0
"WEEK OF MAR 23, 2015 (B)",Hulu Plus : Online,24.6,0,7.4,0,17.2,0,0,0,0,0,0,0
"WEEK OF MAR 23, 2015 (B)",Hulu-Soy Tu Duena : Online,56.1,0,0,0,56.1,0,0,0,0,0,0,0
"WEEK OF MAR 30, 2015 (B)",Hulu : Corporate Promotion,94.2,0,0,0,0,0,0,0,0,0,0,94.2
"WEEK OF MAR 30, 2015 (B)",Hulu : Online,652.1,0,539.8,83.3,14.7,0,0,0,0,0,0,14.3
"WEEK OF MAR 30, 2015 (B)",Hulu Plus : Online,58.2,0,2.2,0,22.2,0,0,0,0,0,0,33.8
"WEEK OF MAR 30, 2015 (B)",Hulu-Deadbeat : Online,1.6,0,0,0,0,0,0,0,0,0,0,1.6
"WEEK OF MAR 30, 2015 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.8,0,0,3.8,0,0,0,0,0,0,0,0
"WEEK OF MAR 30, 2015 (B)",Hulu-Soy Tu Duena : Online,95.9,0,0,0,95.9,0,0,0,0,0,0,0
"WEEK OF APR 06, 2015 (B)",Hulu : Online,758.7,360.1,359.3,31.1,8.3,0,0,0,0,0,0,0
"WEEK OF APR 06, 2015 (B)",Hulu Plus : Online,13.7,0,0,0,13.7,0,0,0,0,0,0,0
"WEEK OF APR 06, 2015 (B)",Hulu-Soy Tu Duena : Online,42,0,0,0,42,0,0,0,0,0,0,0
"WEEK OF APR 13, 2015 (B)",Hulu : Online,980.2,463.5,479.5,31.1,6.2,0,0,0,0,0,0,0
"WEEK OF APR 13, 2015 (B)",Hulu Plus : Online,3.4,0,0,0,3.4,0,0,0,0,0,0,0
"WEEK OF APR 13, 2015 (B)",Hulu-Empire : Online,75.6,0,75.6,0,0,0,0,0,0,0,0,0
"WEEK OF APR 13, 2015 (B)",Hulu-Soy Tu Duena : Online,6.5,0,0,0,6.5,0,0,0,0,0,0,0
