TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SYNDICATION DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),SUNDAY MAGS DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NETWORK RADIO DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF JUN 13, 2016 (B)",Hulu-Empire : Online,1.8,0,0,0,1.8,0,0,0,0,0,0,0
"WEEK OF JUN 13, 2016 (B)",Hulu-He Named Me Malala : Online,1.5,0,1.5,0,0,0,0,0,0,0,0,0
"WEEK OF JUN 20, 2016 (B)",Hulu : Online,662.4,0,185.1,117.2,5.2,0,0,354.8,0,0,0,0
"WEEK OF JUN 20, 2016 (B)",Hulu-Casual : Online,256,0,256,0,0,0,0,0,0,0,0,0
"WEEK OF JUN 20, 2016 (B)",Hulu-He Named Me Malala : Online,3.3,0,3.3,0,0,0,0,0,0,0,0,0
"WEEK OF JUN 20, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.7,0,0,3.7,0,0,0,0,0,0,0,0
"WEEK OF JUN 27, 2016 (B)",Hulu : Online,932.1,0,194.5,193,0.1,277.2,0,0,0,0,0,267.4
"WEEK OF JUN 27, 2016 (B)",Hulu-Difficult People : Online,8,0,0,0,0,0,0,0,0,0,0,8
"WEEK OF JUN 27, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.7,0,0,3.7,0,0,0,0,0,0,0,0
"WEEK OF JUL 04, 2016 (B)",Hulu : Online,283.5,0,148.1,135.3,0.1,0,0,0,0,0,0,0
"WEEK OF JUL 04, 2016 (B)",Hulu-Difficult People : Online,36.4,0,36.4,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 04, 2016 (B)",Hulu-Ocean Mysteries : Online,2.5,0,0,2.3,0.2,0,0,0,0,0,0,0
"WEEK OF JUL 04, 2016 (B)",Hulu-Tyrant : Online,10.2,0,10.2,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 11, 2016 (B)",Hulu : Online,1115.2,604.7,428.9,80.5,1.1,0,0,0,0,0,0,0
"WEEK OF JUL 11, 2016 (B)",Hulu-Difficult People : Online,536,0,249.2,0,0,286.8,0,0,0,0,0,0
"WEEK OF JUL 11, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.7,0,0,3.7,0,0,0,0,0,0,0,0
"WEEK OF JUL 11, 2016 (B)",Hulu-Tyrant : Online,11,0,11,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 18, 2016 (B)",Hulu : Online,953.4,522,422.7,8.7,0,0,0,0,0,0,0,0
"WEEK OF JUL 18, 2016 (B)",Hulu-Difficult People : Online,190,0,129.4,0,0,60.6,0,0,0,0,0,0
"WEEK OF JUL 18, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,6.2,0,0,6,0.2,0,0,0,0,0,0,0
"WEEK OF JUL 18, 2016 (B)",Hulu-SpongeBob Movie Sponge Out Of Water : Online,16.6,0,16.6,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 18, 2016 (B)",Hulu-Tyrant : Online,11.6,0,11.6,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 25, 2016 (B)",Hulu : Online,990.9,438.2,517.9,34.7,0.1,0,0,0,0,0,0,0
"WEEK OF JUL 25, 2016 (B)",Hulu-Curious George : Online,324.1,324.1,0,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 25, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.7,0,0,3.7,0,0,0,0,0,0,0,0
"WEEK OF JUL 25, 2016 (B)",Hulu-SpongeBob Movie Sponge Out Of Water : Online,44.3,0,44.3,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 25, 2016 (B)",Hulu-Teenage Mutant Ninja Turtles : Online,25.9,0,25.9,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 25, 2016 (B)",Hulu-Tyrant : Online,17.8,0,17.8,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 01, 2016 (B)",Hulu : Online,2282.2,1424.7,493.1,19.5,0,0,0,0,0,0,0,344.9
"WEEK OF AUG 01, 2016 (B)",Hulu-Beatles Live At The Hollywood Bowl : Online,1.1,0,0,0,0,0,0,0,0,0,0,1.1
"WEEK OF AUG 01, 2016 (B)",Hulu-Curious George : Online,143.9,136.2,7.7,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 01, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.7,0,0,3.7,0,0,0,0,0,0,0,0
"WEEK OF AUG 01, 2016 (B)",Hulu-Ocean Mysteries : Online,29,0,0,29,0,0,0,0,0,0,0,0
"WEEK OF AUG 01, 2016 (B)",Hulu-SpongeBob Movie Sponge Out Of Water : Online,31.4,0,31.4,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 01, 2016 (B)",Hulu-Teenage Mutant Ninja Turtles : Online,24.4,0,24.4,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 01, 2016 (B)",Hulu-Tyrant : Online,13.7,0,13.7,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 01, 2016 (B)",Hulu-Youre The Worst : Online,3,0,3,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 08, 2016 (B)",Hulu : Online,2622,2226.7,346.8,47.7,0.8,0,0,0,0,0,0,0
"WEEK OF AUG 08, 2016 (B)",Hulu-Curious George : Online,53,35.6,0,17.4,0,0,0,0,0,0,0,0
"WEEK OF AUG 08, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.7,0,0,3.7,0.1,0,0,0,0,0,0,0
"WEEK OF AUG 08, 2016 (B)",Hulu-SpongeBob Movie Sponge Out Of Water : Online,17.3,0,17.3,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 08, 2016 (B)",Hulu-Teenage Mutant Ninja Turtles : Online,2,0,2,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 08, 2016 (B)",Hulu-Tyrant : Online,8.5,0,8.5,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 08, 2016 (B)",Hulu-Youre The Worst : Online,6.9,0,6.9,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 15, 2016 (B)",Hulu : Online,3891.8,3620.2,248.7,22.8,0.1,0,0,0,0,0,0,0
"WEEK OF AUG 15, 2016 (B)",Hulu-Casual : Online,14.2,0,14.2,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 15, 2016 (B)",Hulu-Curious George : Online,35.6,35.6,0,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 15, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.8,0,0,3.7,0.1,0,0,0,0,0,0,0
"WEEK OF AUG 15, 2016 (B)",Hulu-Ocean Mysteries : Online,2.2,0,0,2.2,0,0,0,0,0,0,0,0
"WEEK OF AUG 15, 2016 (B)",Hulu-Tyrant : Online,6,0,6,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 15, 2016 (B)",Hulu-Youre The Worst : Online,9.6,0,9.6,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 22, 2016 (B)",Hulu : Online,238.8,0,138.2,100.5,0.1,0,0,0,0,0,0,0
"WEEK OF AUG 22, 2016 (B)",Hulu-Casual : Online,16.3,0,16.3,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 22, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.7,0,0,3.7,0,0,0,0,0,0,0,0
"WEEK OF AUG 22, 2016 (B)",Hulu-Ocean Mysteries : Online,2.2,0,0,2.2,0,0,0,0,0,0,0,0
"WEEK OF AUG 22, 2016 (B)",Hulu-Tyrant : Online,4.5,0,4.5,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 22, 2016 (B)",Hulu-Youre The Worst : Online,7.3,0,7.3,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 29, 2016 (B)",Hulu : Online,773.6,0,470.9,157.3,0.8,129.2,0,0,0,0,0,15.4
"WEEK OF AUG 29, 2016 (B)",Hulu-Beatles Live At The Hollywood Bowl : Online,9.4,0,0,0,0,0,0,0,0,0,0,9.4
"WEEK OF AUG 29, 2016 (B)",Hulu-Eight Days A Week : Online,28.5,0,0,0,0,0,0,0,0,0,28.5,0
"WEEK OF AUG 29, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.8,0,0,3.7,0.1,0,0,0,0,0,0,0
"WEEK OF AUG 29, 2016 (B)",Hulu-Ocean Mysteries : Online,2.2,0,0,2.2,0,0,0,0,0,0,0,0
"WEEK OF AUG 29, 2016 (B)",Hulu-Strain : Online,13.2,0,13.2,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 29, 2016 (B)",Hulu-Youre The Worst : Online,10.9,0,10.9,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 05, 2016 (B)",Hulu : Online,519,0,430.3,88.2,0.5,0,0,0,0,0,0,0
"WEEK OF SEP 05, 2016 (B)",Hulu-Curious George : Online,39,0,19.8,19.2,0,0,0,0,0,0,0,0
"WEEK OF SEP 05, 2016 (B)",Hulu-Eight Days A Week : Online,49.9,0,0,0,0,0,0,0,0,0,49.9,0
"WEEK OF SEP 05, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,2.3,0,0,2.2,0.1,0,0,0,0,0,0,0
"WEEK OF SEP 05, 2016 (B)",Hulu-Strain : Online,9.9,0,9.9,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 05, 2016 (B)",Hulu-Youre The Worst : Online,9.1,0,9.1,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 12, 2016 (B)",Hulu : Online,1109,500,553.5,55.5,0.1,0,0,0,0,0,0,0
"WEEK OF SEP 12, 2016 (B)",Hulu-Beatles Eight Days A Week : Online,23.9,0,23.9,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 12, 2016 (B)",Hulu-Curious George : Online,6.1,0,5.6,0,0.5,0,0,0,0,0,0,0
"WEEK OF SEP 12, 2016 (B)",Hulu-Eight Days A Week : Online,58.7,0,8.8,0,0,0,0,0,0,0,49.9,0
"WEEK OF SEP 12, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,2.3,0,0,2.2,0.1,0,0,0,0,0,0,0
"WEEK OF SEP 12, 2016 (B)",Hulu-Strain : Online,11.3,0,11.3,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 12, 2016 (B)",Hulu-Youre The Worst : Online,7.8,0,7.8,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 19, 2016 (B)",Hulu : Online,583,6.2,480.3,90.4,6.1,0,0,0,0,0,0,0
"WEEK OF SEP 19, 2016 (B)",Hulu-Beatles Eight Days A Week : Online,35.3,22.1,13.2,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 19, 2016 (B)",Hulu-Curious George : Online,10.9,0,10.9,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 19, 2016 (B)",Hulu-Eight Days A Week : Online,378.9,74.2,21.5,0,0,233.3,0,0,0,0,49.9,0
"WEEK OF SEP 19, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,2.4,0,0,2.2,0.2,0,0,0,0,0,0,0
"WEEK OF SEP 19, 2016 (B)",Hulu-Strain : Online,1.9,0,1.9,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 19, 2016 (B)",Hulu-Youre The Worst : Online,3.8,0,3.8,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 26, 2016 (B)",Hulu : Online,2076,976.1,354.7,219.3,11.7,0,0,0,0,11.8,6.3,496.1
"WEEK OF SEP 26, 2016 (B)",Hulu-Beatles Eight Days A Week : Online,25.2,0,25.2,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 26, 2016 (B)",Hulu-Eight Days A Week : Online,591.3,0,22.8,0,0,532.8,0,0,0,0,35.6,0
"WEEK OF SEP 26, 2016 (B)",Hulu-Strain : Online,13.1,0,13.1,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 26, 2016 (B)",Hulu-Youre The Worst : Online,1.7,0,1.7,0,0,0,0,0,0,0,0,0
"WEEK OF OCT 03, 2016 (B)",Hulu : Online,1443.8,1046.8,251.6,66.5,15.6,0,0,0,0,41.4,21.9,0
"WEEK OF OCT 03, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,2.5,0,0,2.2,0.3,0,0,0,0,0,0,0
"WEEK OF OCT 03, 2016 (B)",Hulu-Strain : Online,15.4,0,15.4,0,0,0,0,0,0,0,0,0
"WEEK OF OCT 03, 2016 (B)",Hulu-Youre The Worst : Online,1.5,0,1.5,0,0,0,0,0,0,0,0,0
"WEEK OF OCT 10, 2016 (B)",Hulu : Online,2326.6,1648.9,392.5,208.7,13.1,0,0,0,0,41.4,21.9,0
"WEEK OF OCT 10, 2016 (B)",Hulu-Chance : Online,179.2,0,135.4,0,0,0,0,0,43.8,0,0,0
"WEEK OF OCT 10, 2016 (B)",Hulu-Strain : Online,10.3,0,10.3,0,0,0,0,0,0,0,0,0
"WEEK OF OCT 10, 2016 (B)",Hulu-Youre The Worst : Online,1.5,0,1.5,0,0,0,0,0,0,0,0,0
"WEEK OF OCT 17, 2016 (B)",Hulu : Online,4071.8,3469.4,376.7,151.1,11.2,0,0,0,0,41.4,21.9,0
"WEEK OF OCT 17, 2016 (B)",Hulu-Chance : Online,1235.5,79.6,514.3,0,0,286.8,0,354.8,0,0,0,0
"WEEK OF OCT 17, 2016 (B)",Hulu-Strain : Online,17.1,0,17.1,0,0,0,0,0,0,0,0,0
"WEEK OF OCT 17, 2016 (B)",Hulu-Youre The Worst : Online,1.7,0,1.7,0,0,0,0,0,0,0,0,0
"WEEK OF OCT 24, 2016 (B)",Hulu : Online,4146.6,3520.4,361.8,185.2,15.8,0,0,0,0,41.4,21.9,0
"WEEK OF OCT 24, 2016 (B)",Hulu-Chance : Online,212.9,25.7,187.2,0,0,0,0,0,0,0,0,0
"WEEK OF OCT 24, 2016 (B)",Hulu-Mindy Project : Online,7.1,0,7.1,0,0,0,0,0,0,0,0,0
"WEEK OF OCT 24, 2016 (B)",Hulu-Strain : Online,7.7,0,7.7,0,0,0,0,0,0,0,0,0
"WEEK OF OCT 24, 2016 (B)",Hulu-Youre The Worst : Online,1.7,0,1.7,0,0,0,0,0,0,0,0,0
"WEEK OF OCT 31, 2016 (B)",Hulu : Online,3447.2,2362.3,384.9,32.7,28.2,0,0,0,0,50.3,19.5,569.3
"WEEK OF OCT 31, 2016 (B)",Hulu-Chance : Online,335.3,148,187.3,0,0,0,0,0,0,0,0,0
"WEEK OF OCT 31, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,2.2,0,0,2.2,0.1,0,0,0,0,0,0,0
"WEEK OF OCT 31, 2016 (B)",Hulu-Mindy Project : Online,30,0,30,0,0,0,0,0,0,0,0,0
"WEEK OF OCT 31, 2016 (B)",Hulu-Youre The Worst : Online,2,0,2,0,0,0,0,0,0,0,0,0
"WEEK OF NOV 07, 2016 (B)",Hulu : Online,2550.4,1791.9,526.8,142.6,18.2,0,0,0,0,51.7,19.2,0
"WEEK OF NOV 07, 2016 (B)",Hulu-Chance : Online,407.6,395.9,11.7,0,0,0,0,0,0,0,0,0
"WEEK OF NOV 07, 2016 (B)",Hulu-Mindy Project : Online,14.5,0,14.5,0,0,0,0,0,0,0,0,0
"WEEK OF NOV 07, 2016 (B)",Hulu-Youre The Worst : Online,2,0,2,0,0,0,0,0,0,0,0,0
"WEEK OF NOV 14, 2016 (B)",Hulu : Online,2586.3,1915.3,537.7,61.7,0.8,0,0,0,0,51.7,19.2,0
"WEEK OF NOV 14, 2016 (B)",Hulu-Chance : Online,6.8,0,6.8,0,0,0,0,0,0,0,0,0
"WEEK OF NOV 14, 2016 (B)",Hulu-Mindy Project : Online,4.8,0,4.8,0,0,0,0,0,0,0,0,0
"WEEK OF NOV 14, 2016 (B)",Hulu-Youre The Worst : Online,4.3,0,4.3,0,0,0,0,0,0,0,0,0
"WEEK OF NOV 21, 2016 (B)",Hulu : Online,4523.8,3881.8,375.8,194.2,1.2,0,0,0,0,51.7,19.2,0
"WEEK OF NOV 21, 2016 (B)",Hulu-Youre The Worst : Online,0.6,0,0.6,0,0,0,0,0,0,0,0,0
"WEEK OF NOV 28, 2016 (B)",Hulu : Online,2350.5,1628.3,317.2,92.6,0.6,0,0,0,0,55.3,13.8,242.8
"WEEK OF NOV 28, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,2.3,0,0,2.2,0.1,0,0,0,0,0,0,0
"WEEK OF NOV 28, 2016 (B)",Hulu-Shut Eye : Online,78.1,0,78.1,0,0,0,0,0,0,0,0,0
"WEEK OF DEC 05, 2016 (B)",Hulu : Online,2759.5,2122.6,382.1,187,0.2,0,0,0,0,57.9,9.7,0
"WEEK OF DEC 05, 2016 (B)",Hulu-Shut Eye : Online,498.8,56.8,426.5,0,0,0,0,0,15.5,0,0,0
"WEEK OF DEC 12, 2016 (B)",Hulu : Online,2455.8,1567.4,655.6,165.1,0.1,0,0,0,0,57.9,9.7,0
"WEEK OF DEC 12, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,0,0,0,0,0,0,0,0,0,0,0,0
"WEEK OF DEC 12, 2016 (B)",Hulu-Shut Eye : Online,688.3,57,212.6,0,0,418.7,0,0,0,0,0,0
"WEEK OF DEC 19, 2016 (B)",Hulu : Online,4185.9,3024.8,845.9,246.8,0.8,0,0,0,0,57.9,9.7,0
"WEEK OF DEC 19, 2016 (B)",Hulu-Shut Eye : Online,211,0,211,0,0,0,0,0,0,0,0,0
"WEEK OF DEC 26, 2016 (B)",Hulu : Online,1722.4,73.2,841.1,296,0.7,0,0,0,0,49.6,8.3,453.5
"WEEK OF DEC 26, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,0.1,0,0,0,0.1,0,0,0,0,0,0,0
"WEEK OF DEC 26, 2016 (B)",Hulu-Shut Eye : Online,5.4,0,5.4,0,0,0,0,0,0,0,0,0
"WEEK OF JAN 02, 2017 (B)",Hulu : Online,2281.4,856.9,1424.5,0,0,0,0,0,0,0,0,0
"WEEK OF JAN 02, 2017 (B)",Hulu-Jack Hannas Wild Countdown : Online,4.1,0,0,4,0.1,0,0,0,0,0,0,0
"WEEK OF JAN 09, 2017 (B)",Hulu : Online,1400.1,493.3,524.6,382.2,0.1,0,0,0,0,0,0,0
"WEEK OF JAN 09, 2017 (B)",Hulu-Jack Hannas Wild Countdown : Online,2.3,0,0,2.2,0.1,0,0,0,0,0,0,0
"WEEK OF JAN 16, 2017 (B)",Hulu : Online,1866,610.9,586,668,1.1,0,0,0,0,0,0,0
"WEEK OF JAN 16, 2017 (B)",Hulu-Jack Hannas Wild Countdown : Online,2.3,0,0,2.2,0.1,0,0,0,0,0,0,0
"WEEK OF JAN 16, 2017 (B)",Hulu-Path : Online,99.7,0,99.7,0,0,0,0,0,0,0,0,0
"WEEK OF JAN 23, 2017 (B)",Hulu : Online,237.7,150.3,87,0,0.3,0,0,0,0,0,0,0
"WEEK OF JAN 23, 2017 (B)",Hulu-Path : Online,581.5,285.3,296.2,0,0,0,0,0,0,0,0,0
"WEEK OF JAN 30, 2017 (B)",Hulu : Online,2175.1,980.4,561.6,514.7,0.4,0,0,0,0,0,0,118
"WEEK OF JAN 30, 2017 (B)",Hulu-Handmaids Tale : Online,11318.4,11318.4,0,0,0,0,0,0,0,0,0,0
"WEEK OF JAN 30, 2017 (B)",Hulu-Path : Online,288,119.1,168.9,0,0,0,0,0,0,0,0,0
"WEEK OF FEB 06, 2017 (B)",Hulu : Online,1509.9,350.8,721,437.6,0.6,0,0,0,0,0,0,0
"WEEK OF FEB 06, 2017 (B)",Hulu-Path : Online,136.9,0,136.9,0,0,0,0,0,0,0,0,0
"WEEK OF FEB 13, 2017 (B)",Hulu : Online,2136,323.2,1365.7,447.1,0,0,0,0,0,0,0,0
"WEEK OF FEB 13, 2017 (B)",Hulu-Path : Online,146.1,0,146.1,0,0,0,0,0,0,0,0,0
"WEEK OF FEB 20, 2017 (B)",Hulu : Online,0.4,0,0,0,0.4,0,0,0,0,0,0,0
"WEEK OF FEB 27, 2017 (B)",Hulu : Online,948.6,313.2,577.9,0,1.2,0,0,0,0,0,0,56.4
"WEEK OF FEB 27, 2017 (B)",Hulu-Jack Hannas Wild Countdown : Online,2.3,0,0,2.2,0.1,0,0,0,0,0,0,0
"WEEK OF MAR 06, 2017 (B)",Hulu : Online,1493,639.3,680.6,172.4,0.8,0,0,0,0,0,0,0
"WEEK OF MAR 06, 2017 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.3,0,0,2.2,1.2,0,0,0,0,0,0,0
"WEEK OF MAR 13, 2017 (B)",Hulu : Online,2344.6,1181.4,952.9,210.2,0.1,0,0,0,0,0,0,0
"WEEK OF MAR 20, 2017 (B)",Hulu : Online,2169.3,1479.5,590.9,98.2,0.7,0,0,0,0,0,0,0
"WEEK OF MAR 20, 2017 (B)",Hulu-Jack Hannas Wild Countdown : Online,5.1,0,0,3.7,1.4,0,0,0,0,0,0,0
"WEEK OF MAR 27, 2017 (B)",Hulu : Online,2058.2,116.1,1456.2,0,1.4,0,0,0,0,2.4,0,482.2
"WEEK OF MAR 27, 2017 (B)",Hulu-Handmaids Tale : Online,168.8,0,0,0,0,0,0,0,0,0,0,168.8
"WEEK OF MAR 27, 2017 (B)",Hulu-Seinfeld : Online,7,0,0,0,0,0,0,0,0,0,7,0
"WEEK OF APR 03, 2017 (B)",Hulu : Online,1735.3,925.4,800.1,0,1.4,0,0,0,0,8.4,0,0
"WEEK OF APR 03, 2017 (B)",Hulu-Seinfeld : Online,24.5,0,0,0,0,0,0,0,0,0,24.5,0
"WEEK OF APR 10, 2017 (B)",Hulu : Online,1152.7,485.4,657.3,0,1.6,0,0,0,0,8.4,0,0
"WEEK OF APR 10, 2017 (B)",Hulu-Harlots : Online,17,0,17,0,0,0,0,0,0,0,0,0
"WEEK OF APR 10, 2017 (B)",Hulu-Seinfeld : Online,24.5,0,0,0,0,0,0,0,0,0,24.5,0
"WEEK OF APR 17, 2017 (B)",Hulu : Online,928.7,356,562.8,0,1.4,0,0,0,0,8.4,0,0
"WEEK OF APR 17, 2017 (B)",Hulu-Handmaids Tale : Online,1002.6,467.2,535.4,0,0,0,0,0,0,0,0,0
"WEEK OF APR 17, 2017 (B)",Hulu-Harlots : Online,32,0,32,0,0,0,0,0,0,0,0,0
"WEEK OF APR 17, 2017 (B)",Hulu-Seinfeld : Online,24.5,0,0,0,0,0,0,0,0,0,24.5,0
"WEEK OF APR 24, 2017 (B)",Hulu : Online,11.3,0,2.8,0,0,0,0,0,0,8.4,0,0
"WEEK OF APR 24, 2017 (B)",Hulu-Handmaids Tale : Online,1733,923.3,616.8,0,0,192.9,0,0,0,0,0,0
"WEEK OF APR 24, 2017 (B)",Hulu-Seinfeld : Online,24.5,0,0,0,0,0,0,0,0,0,24.5,0
"WEEK OF MAY 01, 2017 (B)",Hulu : Corporate Promotion,176.2,0,0,0,0,0,0,0,0,0,0,176.2
"WEEK OF MAY 01, 2017 (B)",Hulu : Online,1118.8,224.1,450.3,0,0.6,0,0,0,0,8.6,0,435.2
"WEEK OF MAY 01, 2017 (B)",Hulu-Handmaids Tale : Online,1242.5,247.6,523.7,0,0,428.9,0,0,0,0,0,42.2
"WEEK OF MAY 01, 2017 (B)",Hulu-Seinfeld : Online,17.5,0,0,0,0,0,0,0,0,0,17.5,0
"WEEK OF MAY 08, 2017 (B)",Hulu : Online,619.9,156.2,454.3,0,0.7,0,0,0,0,8.6,0,0
"WEEK OF MAY 08, 2017 (B)",Hulu-Handmaids Tale : Online,530.6,207.9,322.7,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 08, 2017 (B)",Hulu-Jack Hannas Wild Countdown : Online,2.1,0,0,2.1,0,0,0,0,0,0,0,0
"WEEK OF MAY 08, 2017 (B)",Hulu-Seinfeld : Online,17.5,0,0,0,0,0,0,0,0,0,17.5,0
"WEEK OF MAY 15, 2017 (B)",Hulu : Online,1591.9,811,771.6,0,0.6,0,0,0,0,8.6,0,0
"WEEK OF MAY 15, 2017 (B)",Hulu-Handmaids Tale : Online,179.7,0,179.4,0,0.3,0,0,0,0,0,0,0
"WEEK OF MAY 15, 2017 (B)",Hulu-Seinfeld : Online,17.5,0,0,0,0,0,0,0,0,0,17.5,0
"WEEK OF MAY 22, 2017 (B)",Hulu : Online,8.9,0,0,0,0.2,0,0,0,0,8.6,0,0
"WEEK OF MAY 22, 2017 (B)",Hulu-Handmaids Tale : Online,393.3,383.7,9.2,0,0.4,0,0,0,0,0,0,0
"WEEK OF MAY 22, 2017 (B)",Hulu-Jack Hannas Wild Countdown : Online,2.1,0,0,2.1,0,0,0,0,0,0,0,0
"WEEK OF MAY 22, 2017 (B)",Hulu-Seinfeld : Online,17.5,0,0,0,0,0,0,0,0,0,17.5,0
"WEEK OF MAY 29, 2017 (B)",Hulu : Corporate Promotion,22.5,0,0,0,0,0,0,0,0,0,0,22.5
"WEEK OF MAY 29, 2017 (B)",Hulu : Online,2305.9,872.1,610.3,0,1.3,0,0,0,0,5.1,55.3,761.9
"WEEK OF MAY 29, 2017 (B)",Hulu Plus : Online,68,68,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 29, 2017 (B)",Hulu-Handmaids Tale : Online,17.3,0,7.5,8,1.8,0,0,0,0,0,0,0
"WEEK OF MAY 29, 2017 (B)",Hulu-Jack Hannas Wild Countdown : Online,2,0,0,2,0,0,0,0,0,0,0,0
"WEEK OF MAY 29, 2017 (B)",Hulu-Seinfeld : Online,13.7,0,0,0,0,0,0,0,0,0,13.7,0
"WEEK OF JUN 05, 2017 (B)",Hulu : Online,1625.5,804.9,720.4,0,1.1,0,0,0,0,2.4,96.7,0
"WEEK OF JUN 05, 2017 (B)",Hulu-Handmaids Tale : Online,109.5,107.9,0,0,1.6,0,0,0,0,0,0,0
"WEEK OF JUN 05, 2017 (B)",Hulu-Seinfeld : Online,10.9,0,0,0,0,0,0,0,0,0,10.9,0
"WEEK OF JUN 12, 2017 (B)",Hulu : Online,1157.5,226.7,830.4,0,1.3,0,0,0,0,2.4,96.7,0
"WEEK OF JUN 12, 2017 (B)",Hulu-Handmaids Tale : Online,10.8,0,5.6,0,5.1,0,0,0,0,0,0,0
"WEEK OF JUN 12, 2017 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.5,0,0,3.5,0,0,0,0,0,0,0,0
"WEEK OF JUN 12, 2017 (B)",Hulu-Seinfeld : Online,10.9,0,0,0,0,0,0,0,0,0,10.9,0
"WEEK OF JUN 19, 2017 (B)",Hulu : Online,258.5,112.6,46.7,0,0.1,0,0,0,0,2.4,96.7,0
"WEEK OF JUN 19, 2017 (B)",Hulu-Handmaids Tale : Online,12,0,5.6,0,6.4,0,0,0,0,0,0,0
"WEEK OF JUN 19, 2017 (B)",Hulu-Jack Hannas Wild Countdown : Online,2.1,0,0,2,0.1,0,0,0,0,0,0,0
"WEEK OF JUN 19, 2017 (B)",Hulu-Seinfeld : Online,10.9,0,0,0,0,0,0,0,0,0,10.9,0
"WEEK OF JUN 26, 2017 (B)",Hulu : Online,1469.6,88.8,913.9,0,43.7,0,0,0,0,1.7,87.2,334.4
"WEEK OF JUN 26, 2017 (B)",Hulu-Seinfeld : Online,7.8,0,0,0,0,0,0,0,0,0,7.8,0
"WEEK OF JUL 03, 2017 (B)",Hulu : Online,900.5,0,731.8,0,105.4,0,0,0,0,0,63.3,0
"WEEK OF JUL 10, 2017 (B)",Hulu : Online,1110.3,306.9,740.1,0,0.1,0,0,0,0,0,63.3,0
"WEEK OF JUL 10, 2017 (B)",Hulu-Handmaids Tale : Online,3,0,3,0,0,0,0,0,0,0,0,0
